"EntrezID","Name","CombinedES","Pval"
"57062","DDX24","-1.4837","1.0107e-09"
"7100","TLR5","1.4249","3.0228e-09"
"11044","PAPD7","-1.2815","1.3735e-07"
"55288","RHOT1","1.247","2.6362e-07"
"6477","SIAH1","-1.2388","2.6362e-07"
"9929","JOSD1","-1.6252","4.6591e-07"
"6687","SPG7","-1.3035","4.6591e-07"
"8743","TNFSF10","2.0069","4.7752e-07"
"56257","MEPCE","-1.2061","4.8609e-07"
"55602","CDKN2AIP","-1.2864","6.2387e-07"
"51277","DNAJC27","-1.1796","6.2387e-07"
"29997","GLTSCR2","-1.231","9.1516e-07"
"6187","RPS2","-1.1427","1.8687e-06"
"23765","IL17RA","1.1196","3.2709e-06"
"64745","METTL17","-1.0895","6.7526e-06"
"1454","CSNK1E","-1.1857","7.7827e-06"
"79796","ALG9","-1.0849","7.7827e-06"
"65108","MARCKSL1","-1.1694","1.0141e-05"
"8291","DYSF","1.3128","1.0141e-05"
"2794","GNL1","-1.0699","1.0141e-05"
"23378","RRP8","-1.1304","1.2051e-05"
"54882","ANKHD1","-1.0594","1.2051e-05"
"9925","ZBTB5","-1.0524","1.3495e-05"
"9117","SEC22C","-1.0564","1.3495e-05"
"55274","PHF10","-1.0482","1.408e-05"
"7050","TGIF1","-1.2744","1.4658e-05"
"3240","HP","1.0482","1.5352e-05"
"23119","HIC2","-1.0332","1.8226e-05"
"6468","FBXW4","-1.0395","1.8226e-05"
"22921","MSRB2","1.4351","2.0379e-05"
"6832","SUPV3L1","-1.3956","2.0647e-05"
"55683","KANSL3","-1.3129","2.2222e-05"
"838","CASP5","1.02","2.2222e-05"
"115207","KCTD12","1.0331","2.2222e-05"
"197259","MLKL","1.1519","2.4231e-05"
"79753","SNIP1","-1.0099","2.6819e-05"
"5058","PAK1","1.0499","2.7596e-05"
"338657","CCDC84","-1.307","2.7596e-05"
"2745","GLRX","1.9264","2.7834e-05"
"8665","EIF3F","-1.0004","2.7834e-05"
"54946","SLC41A3","-1.1547","3.1524e-05"
"6146","RPL22","-0.99712","3.2248e-05"
"7486","WRN","-1.1692","3.6973e-05"
"4092","SMAD7","-1.3517","4.6538e-05"
"10981","RAB32","1.3435","4.8291e-05"
"93058","COQ10A","-1.42","5.4314e-05"
"6143","RPL19","-0.97401","5.4314e-05"
"26051","PPP1R16B","-1.5004","5.5025e-05"
"433","ASGR2","0.97135","5.5025e-05"
"55450","CAMK2N1","-0.96536","6.4812e-05"
"91966","CXorf40A","-0.9592","7.1418e-05"
"8819","SAP30","0.94803","8.8559e-05"
"3934","LCN2","0.94217","9.5014e-05"
"56965","PARP6","-0.93986","9.9086e-05"
"6191","RPS4X","-1.0178","0.00010517"
"5631","PRPS1","-0.9375","0.00011249"
"3142","HLX","0.94078","0.00011439"
"51311","TLR8","1.4208","0.00012357"
"2010","EMD","-0.93446","0.0001391"
"57616","TSHZ3","1.3405","0.00016345"
"8731","RNMT","-1.3239","0.00016767"
"54476","RNF216","-1.7047","0.00017091"
