#"ID_REF"	"GSM1599181"	"GSM1599182"	"GSM1599183"	"GSM1599187"	"GSM1599188"	"GSM1599189"
#CLASS	Healthy	Healthy	Healthy	TB	TB	TB
"ILMN_1651199"	-2.7291667	-2.8125	-2.8125	-5.6041665	-4.7291665	1.3125
"ILMN_1651209"	2.9375	-0.8958333	-1.4791666	-3.2291667	0.27083334	-6.9791665
"ILMN_1651210"	-4.3541665	1.7708334	-5.9375	3.4375	-3.0208333	-0.6875
"ILMN_1651221"	-3.7708333	1.3958334	0.104166664	6.5625	10.645833	5.6458335
"ILMN_1651228"	6034.271	6505.8125	7038.896	8437.3955	7916.396	7544.646
"ILMN_1651229"	35.604168	36.354168	22.4375	49.8125	58.520832	46.3125
"ILMN_1651230"	-3.1458333	-7.4375	5.0208335	-0.7708333	-10.9375	-4.3541665
"ILMN_1651232"	7.4791665	8.1875	14.895833	3.4375	-0.27083334	13.9375
"ILMN_1651235"	0.27083334	4.1041665	5.7291665	-6.1458335	-6.1458335	-2.1875
"ILMN_1651236"	-3.7708333	-4.5208335	-7.8958335	-1.2291666	-4.3125	0.0625
"ILMN_1651237"	-6.8958335	-8.479167	-6.5625	-7.3958335	-4.5208335	-6.3125
"ILMN_1651238"	-0.6458333	-7.1458335	-3.1041667	-9.979167	-7.9375	-16.8125
"ILMN_1651249"	8.145833	5.3541665	-0.5208333	-1.0625	4.1041665	1.2291666
"ILMN_1651253"	0.39583334	8.020833	-0.7291667	-6.9791665	5.6041665	-6.9375
"ILMN_1651254"	801.4792	669.3125	734.9375	707.2708	444.9375	890.9375
"ILMN_1651259"	15.3125	9.604167	9.8125	9.145833	17.229166	14.770833
"ILMN_1651260"	-8.729167	-4.3541665	-5.9375	-8.5625	-4.7708335	-10.604167
"ILMN_1651262"	1120.3959	908.0625	972.9792	1010.7708	1190.5209	1183.8959
"ILMN_1651268"	18.5625	10.645833	6.3958335	-0.8125	2.6875	9.604167
"ILMN_1651278"	138.3125	313.02084	184.22917	105.854164	86.354164	199.47917
"ILMN_1651279"	1.9375	2.8541667	3.6875	9.4375	-0.9375	1.5625
